refDes,platformType,zarrFile,variables
RS01SBPS-SF01A-4F-PCO2WA101,profiler,RS01SBPS-SF01A-4F-PCO2WA101-streamed-pco2w_a_sami_data_record,"['pco2_seawater']"
RS03AXPS-SF03A-4F-PCO2WA301,profiler,RS03AXPS-SF03A-4F-PCO2WA301-streamed-pco2w_a_sami_data_record,"['pco2_seawater']"
CE02SHBP-LJ01D-09-PCO2WB103,fixed,CE02SHBP-LJ01D-09-PCO2WB103-streamed-pco2w_b_sami_data_record,"['pco2_seawater']"
CE04OSBP-LJ01C-09-PCO2WB104,fixed,CE04OSBP-LJ01C-09-PCO2WB104-streamed-pco2w_b_sami_data_record,"['pco2_seawater']" 
CE04OSPS-SF01B-2B-PHSENA108,profiler,CE04OSPS-SF01B-2B-PHSENA108-streamed-phsen_data_record,"['ph_seawater']"
CE04OSPS-PC01B-4B-PHSENA106,fixed,CE04OSPS-PC01B-4B-PHSENA106-streamed-phsen_data_record,"['ph_seawater']"
RS01SBPS-PC01A-4B-PHSENA102,fixed,RS01SBPS-PC01A-4B-PHSENA102-streamed-phsen_data_record,"['ph_seawater']"
RS01SBPS-SF01A-2D-PHSENA101,profiler,RS01SBPS-SF01A-2D-PHSENA101-streamed-phsen_data_record,"['ph_seawater']"
RS03AXPS-PC03A-4B-PHSENA302,fixed,RS03AXPS-PC03A-4B-PHSENA302-streamed-phsen_data_record,"['ph_seawater']"
RS03AXPS-SF03A-2D-PHSENA301,profiler,RS03AXPS-SF03A-2D-PHSENA301-streamed-phsen_data_record,"['ph_seawater']"
CE02SHBP-LJ01D-10-PHSEND103,fixed,CE02SHBP-LJ01D-10-PHSEND103-streamed-phsen_data_record,"['ph_seawater']"
CE04OSBP-LJ01C-10-PHSEND107,fixed,CE04OSBP-LJ01C-10-PHSEND107-streamed-phsen_data_record,"['ph_seawater']"
CE04OSPS-SF01B-3C-PARADA102,profiler,CE04OSPS-SF01B-3C-PARADA102-streamed-parad_sa_sample,"['par_counts_output']"
RS01SBPS-SF01A-3C-PARADA101,profiler,RS01SBPS-SF01A-3C-PARADA101-streamed-parad_sa_sample,"['par_counts_output']"
RS03AXPS-SF03A-3C-PARADA301,profiler,RS03AXPS-SF03A-3C-PARADA301-streamed-parad_sa_sample,"['par_counts_output']"

