annotation,begin_datetime,end_datetime,exclusion_flag,id,instrument,method,node,parameter_ids,parameter_names,qc_flag,site,source,stream
Deployment 1: Mooring was deployed 5-10m shallower than planned.,2013-07-23T23:32:00Z,2014-06-17T17:00:00Z,False,154,,,,[],[],,GP03FLMB,lgarzio@marine.rutgers.edu,
Telemetered inductive ADCP data is in pd12 format which does not include the depth-to-first-bin value which is needed for proper calculation of the data products. A nominal value is entered into the system so that telemetered data can be used when needed. For the best data the recovered data in pd0 format should be used.,2013-07-23T23:32:00Z,,False,1925,02-ADCPSL007,telemetered,RIM01,[],[],,GP03FLMB,cdobson@whoi.edu,adcps_jln_sio_mule_instrument
Deployment 1: The pressure sensor on the ADCP was not functioning for this deployment.,2013-07-23T23:32:00Z,2014-06-18T07:00:00Z,False,4534,02-ADCPSL007,,RIM01,[],[],,GP03FLMB,swhite@whoi.edu,
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2013-07-23T23:45:01Z,2024-06-06T07:20:00Z,False,6027,05-FLORTD000,recovered_host,RIS01,"[1142, 23, 1143]","['measurement_wavelength_cdom', 'fluorometric_cdom', 'raw_signal_cdom']",,GP03FLMB,areed@whoi.edu,flort_sample
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2013-07-24T05:00:02Z,2024-06-06T07:20:00Z,False,6028,05-FLORTD000,telemetered,RIS01,"[1142, 1143, 23]","['measurement_wavelength_cdom', 'raw_signal_cdom', 'fluorometric_cdom']",,GP03FLMB,areed@whoi.edu,flort_sample
"Note that if the profiler is experiencing pitch and/or roll of 10 degrees or greater, the data products in the earth reference frame (ENU) are suspect. The data in the profiler reference frame (XYZ) are still valid. Please keep this in mind when using this data.",2013-07-26T01:11:00Z,,False,2503,05-VEL3DL000,recovered_wfp,WFP02,"[3488, 3489, 3490, 3487]","['vel3d_l_northward_velocity', 'vel3d_l_upward_velocity_ascending', 'vel3d_l_upward_velocity_descending', 'vel3d_l_eastward_velocity']",,GP02HYPM,swhite@whoi.edu,vel3d_l_wfp_instrument_recovered
Deployment 1: Instrument nominal deployment depth was 164 m but pressure indicates a depth of approximately 280 m. Unknown if due to deployed at wrong depth or if an instrument issue. Data should be considered suspect.,2013-07-26T01:11:00Z,2014-06-13T17:00:00Z,False,4948,02-CTDMOG039,,RIM01,[],[],suspect,GP02HYPM,areed@whoi.edu,
"Deployment 1: Human-in-the-loop review of the conductivity and salinity data have identified this deployment as impacted by a salinity drift issue. This issue appears as an initial low-salinity offset followed by a quasi-exponential drift back to a stable value as described in OOI Document 3408-30001 as well as Sea-Bird Application Note 97. Conductivity and salinity data impacted by this issue should either be discarded or corrected following the methods outlined in OOI Document 3408-30001. An example correction can be found at https://github.com/WHOIGit/ooicgsn-data-tools/tree/master/WFP_Salinity_Drift. Computed oxygen concentration, but not raw oxygen data, is also impacted.",2013-07-26T01:11:00Z,2014-06-13T17:00:00Z,False,4362,04-CTDPFL000,,WFP03,[],[],suspect,GP02HYPM,areed@whoi.edu,
"Note that if the profiler is experiencing pitch and/or roll of 10 degrees or greater, the data products in the earth reference frame (ENU) are suspect. The data in the profiler reference frame (XYZ) are still valid. Please keep this in mind when using this data.",2013-07-26T01:11:00Z,,False,2496,05-VEL3DL000,telemetered,WFP02,"[3488, 3489, 3490, 3487]","['vel3d_l_northward_velocity', 'vel3d_l_upward_velocity_ascending', 'vel3d_l_upward_velocity_descending', 'vel3d_l_eastward_velocity']",,GP02HYPM,swhite@whoi.edu,vel3d_l_wfp_instrument
"Note that if the profiler is experiencing pitch and/or roll of 10 degrees or greater, the data products in the earth reference frame (ENU) are suspect. The data in the profiler reference frame (XYZ) are still valid. Please keep this in mind when using this data.",2013-07-26T01:11:00Z,,False,2504,05-VEL3DL000,recovered_wfp,WFP03,"[3488, 3489, 3490, 3487]","['vel3d_l_northward_velocity', 'vel3d_l_upward_velocity_ascending', 'vel3d_l_upward_velocity_descending', 'vel3d_l_eastward_velocity']",,GP02HYPM,swhite@whoi.edu,vel3d_l_wfp_instrument_recovered
Deployment 1: Instrument nominal deployment depth was 164 m but pressure indicates a depth of approximately 280 m. Unknown if due to deployed at wrong depth or if an instrument issue. Data should be considered suspect.,2013-07-26T01:11:00Z,2014-06-13T17:00:00Z,False,4956,02-CTDMOG039,,RIM01,[],[],suspect,GP02HYPM,areed@whoi.edu,
"Note that if the profiler is experiencing pitch and/or roll of 10 degrees or greater, the data products in the earth reference frame (ENU) are suspect. The data in the profiler reference frame (XYZ) are still valid. Please keep this in mind when using this data.",2013-07-26T01:11:00Z,,False,2497,05-VEL3DL000,telemetered,WFP03,"[3488, 3489, 3490, 3487]","['vel3d_l_northward_velocity', 'vel3d_l_upward_velocity_ascending', 'vel3d_l_upward_velocity_descending', 'vel3d_l_eastward_velocity']",,GP02HYPM,swhite@whoi.edu,vel3d_l_wfp_instrument
"There is a substantial change in dissolved oxygen measurements reported by this instrument between deployments 3 and 4. A Subject Matter Expert compared the profiler data to data from the most recent U.S. GO-SHIP occupation of P16N (2015) and suggested that data from deployment 3 are suspect (the external dataset more closely aligns with data from deployment 4). Additionally, profiler data from deployment 1 more closely resemble data from deployment 3, so those data are also suspect. We have not independently verified the analysis, investigation is pending (Redmine 13505).",2013-07-26T08:02:06Z,2017-07-15T23:04:17Z,False,1444,03-DOSTAL000,,WFP03,[],[],,GP02HYPM,lgarzio@marine.rutgers.edu,
Data prior to 2014-09-16 is test data and should not be used.,2013-07-26T17:00:00Z,2014-09-15T17:00:00Z,False,49,06-BOTPTA302,streamed,MJ03E,[],[],,RS03ECAL,,
Deployment 1: CTD measurements suspect beginning 2013-10-24. Instrument disabled 2013-12-05. No data expected after this date.,2013-10-24T05:00:00Z,2014-02-20T20:42:00Z,False,5249,04-CTDGVM000,,GL365,[],[],suspect,GP05MOAS,cdobson@whoi.edu,
Deployment 1: The DOSTA was disabled 2013-10-25. No data expected after this date.,2013-10-24T19:00:00Z,2014-02-20T20:42:00Z,False,5248,02-DOSTAM000,,GL365,[],[],not_operational,GP05MOAS,cdobson@whoi.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,489,00-DCLENG000,,SBD12,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Deployment 1: No recovered ADCP data expected.,2013-11-21T10:15:00Z,2014-04-18T16:59:59Z,False,1840,01-ADCPTF000,,MFD35,[],[],not_operational,CP01CNSM,cdobson@whoi.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,484,00-DCLENG000,,MFD37,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Deployment 1: No recovered data expected.,2013-11-21T10:15:00Z,2014-12-15T12:58:00Z,False,505,01-ADCPTF000,,MFD35,[],[],,CP01CNSM,cdobson@whoi.edu,
Recovered host data are not available.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,502,06-PHSEND000,,RID26,[],[],,CP01CNSM,leila@marine.rutgers.edu,
"* UPDATED, 2019-01-25: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py.  * Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",2013-11-21T10:15:00Z,2019-01-09T16:00:00Z,False,288,05-PCO2WB000,telemetered,MFD35,[931],['pco2_seawater'],,CP01CNSM,friedrich.knuth@rutgers.edu,pco2w_abc_dcl_instrument
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,496,04-VELPTA000,,RID26,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,486,00-DCLENG000,,RID27,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,485,00-DCLENG000,,RID26,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,499,06-METBKA000,,SBD11,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,494,04-PCO2AA000,,SBD12,[],[],,CP01CNSM,leila@marine.rutgers.edu,
"The WAVSS instrument should sample at 4 Hz for 20 minutes every hour according to the OOI baseline sampling strategy. However, during deployment 1, the instrument was configured with a sampling period of 15 minutes every 80 minute interval. In addition, only telemetered data are available for this deployment (data not recoverable).",2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,498,05-WAVSSA000,,SBD12,[],[],suspect,CP01CNSM,lgarzio@marine.rutgers.edu,
Recovered host data are not available.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,497,05-PCO2WB000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Recovered host data are not available.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,503,07-NUTNRB000,,RID26,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Recovered host data are not available.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,495,04-VELPTA000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,504,08-SPKIRB000,,RID26,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,483,00-DCLENG000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,490,01-ADCPTF000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,492,02-PRESFB000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Recovered host data are not available.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,501,06-PHSEND000,,MFD35,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,500,06-METBKA000,,SBD12,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,487,00-CPMENG000,,SBC11,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Data not recoverable.,2013-11-21T10:15:00Z,2014-04-17T17:00:00Z,False,488,00-DCLENG000,,SBD11,[],[],,CP01CNSM,leila@marine.rutgers.edu,
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5874,06-METBKA000,telemetered,SBD11,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,CP01CNSM,areed@whoi.edu,metbk_hourly
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5863,06-METBKA000,recovered_host,SBD12,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,CP01CNSM,areed@whoi.edu,metbk_hourly
"According to the manufacturer, data are suspect when the instrument is tilted more than 20 degrees (measured by pitch and roll).",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,814,04-VELPTA000,,RID26,[],[],,CP01CNSM,lgarzio@marine.rutgers.edu,
Deployment 1-10; telemetered ADCP data for CP01CNSM Deployments 1 through 10 were in pd8 format which does not contain all of the necessary parameters to process the data.  This data has been excluded from the system. Please use the recovered instrument data which is in pd0 format.,2013-11-21T10:16:00Z,2019-04-07T11:08:00Z,True,1825,01-ADCPTF000,telemetered,MFD35,[],[],,CP01CNSM,swhite@whoi.edu,
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5858,06-METBKA000,telemetered,SBD11,"[3072, 3073, 1059, 1060, 8054, 8055, 8057, 3068, 3069]","['met_relwind_direction', 'met_relwind_speed', 'eastward_wind_velocity', 'northward_wind_velocity', 'met_heatflx_minute', 'met_latnflx_minute', 'met_sensflx_minute', 'met_windavg_mag_corr_east', 'met_windavg_mag_corr_north']",suspect,CP01CNSM,areed@whoi.edu,metbk_a_dcl_instrument
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5857,06-METBKA000,telemetered,SBD12,"[3072, 3073, 1059, 1060, 8054, 8055, 8057, 3068, 3069]","['met_relwind_direction', 'met_relwind_speed', 'eastward_wind_velocity', 'northward_wind_velocity', 'met_heatflx_minute', 'met_latnflx_minute', 'met_sensflx_minute', 'met_windavg_mag_corr_east', 'met_windavg_mag_corr_north']",suspect,CP01CNSM,areed@whoi.edu,metbk_a_dcl_instrument
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5847,06-METBKA000,recovered_host,SBD12,"[3072, 3073, 1059, 1060, 8054, 8055, 8057, 3068, 3069]","['met_relwind_direction', 'met_relwind_speed', 'eastward_wind_velocity', 'northward_wind_velocity', 'met_heatflx_minute', 'met_latnflx_minute', 'met_sensflx_minute', 'met_windavg_mag_corr_east', 'met_windavg_mag_corr_north']",suspect,CP01CNSM,areed@whoi.edu,metbk_a_dcl_instrument_recovered
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,6125,02-FLORTD000,telemetered,RID27,"[1142, 1143, 23]","['measurement_wavelength_cdom', 'raw_signal_cdom', 'fluorometric_cdom']",,CP01CNSM,areed@whoi.edu,flort_sample
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5848,06-METBKA000,recovered_host,SBD11,"[3072, 3073, 1059, 1060, 8054, 8055, 8057, 3068, 3069]","['met_relwind_direction', 'met_relwind_speed', 'eastward_wind_velocity', 'northward_wind_velocity', 'met_heatflx_minute', 'met_latnflx_minute', 'met_sensflx_minute', 'met_windavg_mag_corr_east', 'met_windavg_mag_corr_north']",suspect,CP01CNSM,areed@whoi.edu,metbk_a_dcl_instrument_recovered
"According to the manufacturer, data are suspect when the instrument is tilted more than 20 degrees (measured by pitch and roll).",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,813,04-VELPTA000,,MFD35,[],[],,CP01CNSM,lgarzio@marine.rutgers.edu,
Deployment 1: Data from this deployment are out of expected ranges and thus excluded.,2013-11-21T10:16:00Z,2014-04-18T03:33:00Z,True,2221,05-WAVSSA000,,SBD12,[],[],fail,CP01CNSM,swhite@whoi.edu,
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5873,06-METBKA000,telemetered,SBD12,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,CP01CNSM,areed@whoi.edu,metbk_hourly
"Per vendor feedback, the first 1-2 min of each AC-S instrument sampling period should be considered suspect. Signal drift can occur as the instrument warms up, flushes with seawater, and the filter wheel spins up.",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,1784,01-OPTAAD000,,RID27,[],[],,CP01CNSM,swhite@whoi.edu,optaa_dj_dcl_instrument_recovered
"Per vendor feedback, the first 1-2 min of each AC-S instrument sampling period should be considered suspect. Signal drift can occur as the instrument warms up, flushes with seawater, and the filter wheel spins up.",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,1785,01-OPTAAD000,,MFD37,[],[],,CP01CNSM,swhite@whoi.edu,optaa_dj_dcl_instrument
"Per vendor feedback, the first 1-2 min of each AC-S instrument sampling period should be considered suspect. Signal drift can occur as the instrument warms up, flushes with seawater, and the filter wheel spins up.",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,1783,01-OPTAAD000,,RID27,[],[],,CP01CNSM,swhite@whoi.edu,optaa_dj_dcl_instrument
"*UPDATE 2025-08-12: Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.* Sea-Bird Scientific issued a notification that some CDOM fluorometers were producing biased values, which was traced back to three distinct root causes: Incorrect primary CDOM standard, in situ bias, and out-of-tolerance UV LEDs. We are working with Sea-Bird to obtain correction factors for the affected instruments; in the meantime, the CDOM data should be considered suspect and should not be used in any analyses",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,6124,02-FLORTD000,recovered_host,RID27,"[1142, 23, 1143]","['measurement_wavelength_cdom', 'fluorometric_cdom', 'raw_signal_cdom']",,CP01CNSM,areed@whoi.edu,flort_sample
"Per vendor feedback, the first 1-2 min of each AC-S instrument sampling period should be considered suspect. Signal drift can occur as the instrument warms up, flushes with seawater, and the filter wheel spins up.",2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,1786,01-OPTAAD000,,MFD37,[],[],,CP01CNSM,swhite@whoi.edu,optaa_dj_dcl_instrument_recovered
Human-in-the-loop review of the METBK anemometer data indicate systematic under-measurement of wind at speeds greater than about 8 m/s. The cause of the bias is currently under investigation. Data from the METBK anemometer should be considered suspect.,2013-11-21T10:16:00Z,2022-11-11T05:21:00Z,False,5864,06-METBKA000,recovered_host,SBD11,"[3079, 3080, 3081, 3082, 3083, 3084, 3085, 3086, 3087, 3088, 3089, 3090, 3091, 3092]","['met_buoyfls', 'met_buoyflx', 'met_frshflx', 'met_heatflx', 'met_latnflx', 'met_mommflx', 'met_netlirr', 'met_rainflx', 'met_sensflx', 'met_sphum2m', 'met_stablty', 'met_tempa2m', 'met_tempskn', 'met_wind10m']",suspect,CP01CNSM,areed@whoi.edu,metbk_hourly
Deployment 1: The Wire-Following Profiler failed after 2 days and had to be recovered. Visible damage observed when recovered.,2013-11-23T07:50:00Z,2013-11-25T09:09:00Z,False,239,,,WFP01,[],[],,CP02PMUO,cdobson@whoi.edu,
Deployment 1: No recovered VEL3D data available for this deployment.,2013-11-23T07:50:00Z,2013-11-25T09:09:00Z,False,3341,01-VEL3DK000,recovered_wfp,WFP01,[],[],not_operational,CP02PMUO,cdobson@whoi.edu,
Telemetered inductive ADCP data is in pd12 format which does not include the depth-to-first-bin value which is needed for proper calculation of the data products. A nominal value is entered into the system so that telemetered data can be used when needed. For the best data the recovered data in pd0 format should be used.,2013-11-23T07:50:00Z,2022-11-18T03:53:00Z,False,1917,02-ADCPSL010,telemetered,RII01,[],[],,CP02PMUO,cdobson@whoi.edu,adcps_jln_stc_instrument
Deployemt 1-2: Recovered data should be used for analysis. Velocity data cannot be calculated from telemetered data because the beam information was not output.,2013-11-23T07:50:00Z,2014-04-14T14:31:00Z,True,2088,01-VEL3DK000,telemetered,WFP01,[],[],fail,CP02PMUO,swhite@whoi.edu,
"During descending profiles, the vertical velocity estimates may be incorrect due to interference with beam 3 measurements arising from the nearby CTD sensor. Users should cross-compare these vertical velocity estimates with those derived from the CTD pressure record to determine profiles of possible concern. Good vertical velocity estimates will closely align with the CTD derived estimates. Regardless, there should be minimal impact on the estimates of the horizontal velocities. However, care should be taken with these estimates to confirm this conclusion.",2013-11-23T07:50:00Z,2022-11-18T03:53:00Z,False,1655,01-VEL3DK000,telemetered,WFP01,"[3235, 2010, 1613, 1614]","['vel3d_k_upward_velocity', 'vel3d_k_data_set_description', 'vel3d_k_vel0', 'vel3d_k_vel1']",suspect,CP02PMUO,swhite@whoi.edu,vel3d_k_wfp_stc_instrument
